cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	data_type	cases.0.samples.0.sample_type	file_name	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.samples.0.tumor_descriptor	file_id	data_category	cases.0.submitter_id	cases.0.samples.0.sample_id	cases.0.case_id	id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id
6ef883fc-81f3-4089-95e0-86904ffc0d38	Gene Expression Quantification	Primary Tumor	fa9d8ef2-0fd0-4fd8-8266-e4760b77d103.htseq.counts.gz	TCGA-3C-AAAU-01A			47ce59d2-53e6-41f3-962f-19c11188c6c2	Transcriptome Profiling	TCGA-3C-AAAU	197b76a1-a09a-4659-83aa-2c14fd1023a9	6e7d5ec6-a469-467c-b748-237353c23416	47ce59d2-53e6-41f3-962f-19c11188c6c2	TCGA-3C-AAAU-01A-11R-A41B-07
a4b19504-8f04-48db-b88b-d76b8b3c3881	Gene Expression Quantification	Solid Tissue Normal	d46b61b0-6f34-48ca-8c7d-23ae4d0b1a7c.htseq.counts.gz	TCGA-A7-A0CH-11A			b9cc9d9a-33a0-4bed-90a0-23b3840d74ed	Transcriptome Profiling	TCGA-A7-A0CH	60ee931b-d315-4c37-b913-fa46a5f206b4	9de678e5-67ed-4453-a98b-7ac351d5d0f1	b9cc9d9a-33a0-4bed-90a0-23b3840d74ed	TCGA-A7-A0CH-11A-32R-A089-07
a2405d64-34eb-4915-abf7-8530151d5cb0	Gene Expression Quantification	Primary Tumor	0c05d8f9-d045-4189-95b8-04d221600a83.htseq.counts.gz	TCGA-A1-A0SB-01A			61c78219-dcd8-4277-8ede-1cfb989e6afa	Transcriptome Profiling	TCGA-A1-A0SB	f66358d4-9319-4c23-983d-ab5056daacf1	0045349c-69d9-4306-a403-c9c1fa836644	61c78219-dcd8-4277-8ede-1cfb989e6afa	TCGA-A1-A0SB-01A-11R-A144-07
fc5bb351-c5f7-4d8c-850c-13e69e13e04d	Gene Expression Quantification	Solid Tissue Normal	6b59b355-7581-426d-98c1-36e132a77c4e.htseq.counts.gz	TCGA-A7-A0D9-11A			4ede034d-9058-4750-9f83-6af2d3b62858	Transcriptome Profiling	TCGA-A7-A0D9	caca6c83-8d5f-4d85-a6a9-4ded98b71214	17baef7c-d97d-4b98-ab53-503ef856523d	4ede034d-9058-4750-9f83-6af2d3b62858	TCGA-A7-A0D9-11A-53R-A089-07
b1ecc303-eb55-436f-9629-cdac63bde297	Gene Expression Quantification	Primary Tumor	f790ef4c-71bf-43a7-a610-4006a4c0a42c.htseq.counts.gz	TCGA-A2-A0CX-01A			89d71267-35d4-4e87-961d-825dfd74d854	Transcriptome Profiling	TCGA-A2-A0CX	d3c85f76-56ed-4f64-9edb-9cdf80526e33	c744fc13-3aca-4245-9e24-abd368cc8bef	89d71267-35d4-4e87-961d-825dfd74d854	TCGA-A2-A0CX-01A-21R-A00Z-07
62b06301-531d-4fc1-bb00-ede8e507e8f4	Gene Expression Quantification	Primary Tumor	baa3cdc1-1ee8-4aab-80f9-dafa35cc5fbf.htseq.counts.gz	TCGA-C8-A1HF-01A			8f8510f9-cbab-4651-8b18-8ddcb654a8ac	Transcriptome Profiling	TCGA-C8-A1HF	f2a49aa7-b756-4eaa-a6fd-00f56c7e7851	a2453bcb-90f2-4505-949d-a89cf4bfc9b8	8f8510f9-cbab-4651-8b18-8ddcb654a8ac	TCGA-C8-A1HF-01A-11R-A137-07
acd59617-770c-4653-891f-71ea87d67c41	Gene Expression Quantification	Primary Tumor	87a1f0a2-5c97-4e4f-92f0-af2259c42be7.htseq.counts.gz	TCGA-A2-A25F-01A			dc39c2b2-4fd8-496d-bc2a-b25927aefaa1	Transcriptome Profiling	TCGA-A2-A25F	d8b4969f-428d-4bf3-bbd8-883c72e8a934	c836951b-3ffb-4e20-8504-0eccb7d50dd4	dc39c2b2-4fd8-496d-bc2a-b25927aefaa1	TCGA-A2-A25F-01A-11R-A169-07
4f1ffb0e-b2f8-42ae-86cb-bbd3405014f6	Gene Expression Quantification	Primary Tumor	70a755a4-250e-4b5c-a341-a63f1ff430ae.htseq.counts.gz	TCGA-A2-A0EY-01A			24856edc-df30-4377-ae5e-32db616ad8c6	Transcriptome Profiling	TCGA-A2-A0EY	2a3e4dbb-aaff-4b14-bbed-f2d7cf0f8fa3	d67cd793-2931-429a-9084-2f3c4c8be7ad	24856edc-df30-4377-ae5e-32db616ad8c6	TCGA-A2-A0EY-01A-11R-A034-07
32e61645-eb89-49f7-9876-85b1497c7e42	Gene Expression Quantification	Primary Tumor	8f446b76-1d90-4ae6-9f05-db1a0e441ce0.htseq.counts.gz	TCGA-5L-AAT0-01A			0fd54066-f760-4f88-b616-b85f3f6599cf	Transcriptome Profiling	TCGA-5L-AAT0	8434f4a2-0ead-40f6-9b63-9c958a3fb812	86c6f993-327f-4525-9983-29c55625593a	0fd54066-f760-4f88-b616-b85f3f6599cf	TCGA-5L-AAT0-01A-12R-A41B-07
4d12d021-3673-4e14-9fd9-033f811f87da	Gene Expression Quantification	Primary Tumor	59325a83-799e-4f38-aa82-a26b34e7e563.htseq.counts.gz	TCGA-A2-A04U-01A			0e4012bd-a44b-4bfb-a02a-7a0a8483fc8b	Transcriptome Profiling	TCGA-A2-A04U	e1df2e78-ade5-4ff7-a636-95c79e23b942	1c3610f7-e0aa-48d7-9a27-0dbaf6e244f9	0e4012bd-a44b-4bfb-a02a-7a0a8483fc8b	TCGA-A2-A04U-01A-11R-A115-07
